Ref,Verse,View
158,0,432
158,1,432
158,2,432
158,3,432
158,4,432
158,5,432
158,6,432
158,7,432
158,8,432
158,9,432
1886,0,118
1886,1,33
1886,2,335
1886,3,399
1886,4,381
1886,5,265
1886,8,53
158,10,432
158,11,432
158,12,432
158,13,432
5965,1,298
5965,2,425
5965,3,432
5965,4,432
5965,5,432
5965,6,432
5965,7,432
5965,8,432
5965,9,432
5965,10,432
5965,11,432
1513,0,403
1513,1,274
1513,3,16
1186,2,39
447,0,387
447,2,345
662,1,261
662,3,403
662,4,16
422,0,53
422,2,430
422,9,313
1976,0,95
1976,1,381
1976,2,410
1976,3,93
668,1,95
668,2,399
668,4,410
5965,12,432
5965,13,432
6667,0,432
6667,1,432
6667,2,432
6667,3,432
6667,4,432
6667,5,432
37,0,307
37,1,33
37,2,430
37,3,432
37,4,432
37,5,432
37,6,432
37,7,432
37,8,432
479,0,53
479,3,53
1886,12,95
37,9,369
2711,0,342
2711,1,365
2711,2,341
2711,4,360
1174,0,432
1174,1,432
1174,2,432
1174,3,432
1174,4,432
1174,5,432
1174,6,432
1174,7,432
1174,8,432
1174,9,432
5189,0,432
5189,1,432
5189,2,432
5189,3,432
5189,4,432
5189,5,432
5189,6,432
5189,7,432
5189,8,432
5189,9,432
1886,13,313
1886,10,45
6667,6,432
6667,7,432
6667,8,432
6667,9,432
6667,10,432
6667,11,432
6667,12,432
1539,0,315
1539,1,432
1539,2,342
1539,3,337
1539,4,432
1539,5,432
1539,6,432
1539,7,432
1539,8,432
1539,9,432
1539,10,432
1539,11,432
1539,12,432
1539,13,432
1051,0,432
1051,1,432
1051,2,432
1051,3,432
1051,4,432
1051,5,432
1051,6,432
1051,7,432
1051,8,432
1051,9,432
1051,10,432
1051,11,432
1051,12,432
1051,13,432
